connection,time,rxpower,snr,qfactor,chdispcomp,carrieroffset,differentialgroupdelay,ber
5,3683,-5.4,17.4,10.3,-1275,0.055,10,0.000507461
0,3714,-4.9,17.6,10.4,-1265,-0.005,5,0.000442685
1,3715,-0.2,17.8,10.5,-814,-0.069,7,0.000396163
2,3716,-3.7,16.9,9.9,-5884,-0.037,7,0.000789333
3,3716,-0.9,17.2,10.1,-5874,0.094,6,0.000622962
4,3717,-0.3,16.8,9.5,-826,-0.019,10,0.00127518
5,3718,-5.4,17.4,10.3,-1270,-0.02,9,0.000519673
0,3749,-5,17.5,10.4,-1263,0.037,5,0.000437788
1,3750,-0.2,17.7,10.5,-814,-0.105,7,0.000401417
2,3751,-3.7,17,9.9,-5889,-0.034,7,0.000782088
3,3751,-0.9,17.2,10.2,-5872,0.054,10,0.000600652
4,3752,-0.3,16.8,9.5,-828,0.013,10,0.001325565
5,3754,-5.4,17.3,10.3,-1273,0.028,9,0.000545996
0,3785,-4.9,17.6,10.4,-1262,-0.014,4,0.000466663
1,3785,-0.2,17.6,10.5,-817,-0.032,7,0.00042173
2,3786,-3.7,17,9.9,-5888,-0.097,8,0.000786205
3,3787,-0.9,17.2,10.1,-5870,0.128,9,0.000639262
4,3788,-0.3,16.9,9.5,-827,0.017,11,0.001391582
5,3789,-5.3,17.3,10.3,-1271,-0.003,10,0.000514996
0,3820,-5,17.6,10.4,-1262,-0.085,5,0.000441515
1,3820,-0.2,17.5,10.5,-816,-0.012,7,0.000384077
2,3821,-3.7,16.8,9.9,-5888,0.029,7,0.000824475
3,3822,-0.8,17.1,10.1,-5874,-0.024,11,0.000633495
4,3823,-0.3,16.7,9.5,-826,0.07,10,0.001316565
5,3824,-5.3,17.3,10.3,-1273,-0.071,9,0.000512249
0,3855,-5,17.5,10.4,-1265,-0.081,5,0.000430236
1,3855,-0.2,17.7,10.5,-814,0.012,7,0.000412403
2,3856,-3.6,16.9,9.9,-5888,-0.066,8,0.000767044
3,3857,-0.9,17.2,10.1,-5872,0.08,9,0.000624251
4,3858,-0.3,16.7,9.5,-827,0.131,10,0.001320671
5,3859,-5.4,17.2,10.3,-1273,-0.034,9,0.000543042
0,3890,-4.9,17.7,10.4,-1269,-0.032,5,0.000469007
1,3891,-0.2,17.6,10.5,-818,-0.063,7,0.00038049
2,3891,-3.7,16.8,9.9,-5886,0.009,7,0.000843718
3,3892,-0.8,17,10.1,-5873,0.131,11,0.000647714
4,3893,-0.3,16.8,9.5,-828,0.062,10,0.001381267
5,3894,-5.4,17.4,10.3,-1270,-0.021,10,0.000495188
0,3925,-4.9,17.7,10.4,-1265,-0.067,4,0.000457127
1,3926,-0.2,17.7,10.5,-819,-0.117,7,0.000406476
2,3926,-3.7,16.7,9.9,-5888,-0.044,7,0.00079685
3,3927,-0.9,17.2,10.1,-5876,0.017,7,0.000632775
4,3928,-0.3,16.8,9.5,-825,-0.018,10,0.001270095
5,3929,-5.3,17.3,10.3,-1271,0.099,10,0.0005241
0,3960,-5,17.7,10.4,-1261,-0.099,4,0.000434743
1,3961,-0.2,17.6,10.4,-818,-0.065,7,0.000423407
2,3961,-3.7,16.9,9.9,-5885,-0.027,5,0.000772635
3,3962,-0.9,17,10.1,-5871,0.053,12,0.000666779
4,3963,-0.3,16.9,9.5,-827,0.064,10,0.001394022
5,3964,-5.3,17.4,10.3,-1270,0.032,10,0.000505956
0,3995,-5,17.5,10.4,-1269,0.001,5,0.000481998
1,3996,-0.2,17.7,10.5,-814,-0.109,7,0.000378955
2,3996,-3.7,16.8,9.9,-5890,-0.035,6,0.000802437
3,3997,-0.9,17.1,10.1,-5871,0.054,10,0.000650204
4,3999,-0.3,16.9,9.5,-830,-0.023,11,0.00131801
5,3999,-5.4,17.3,10.3,-1273,0.019,9,0.000504046
0,4030,-5,17.6,10.4,-1266,0.006,5,0.000466866
1,4031,-0.2,17.5,10.4,-818,-0.144,7,0.000416645
2,4032,-3.7,17,9.9,-5889,-0.058,7,0.000815816
3,4033,-0.9,17.1,10.1,-5877,0.069,10,0.000607908
4,4034,-0.3,16.8,9.5,-825,0,11,0.001324707
5,4035,-5.4,17.4,10.3,-1270,0.031,9,0.000525206
0,4066,-5,17.6,10.4,-1265,0.037,4,0.000436422
1,4067,-0.2,17.7,10.4,-816,-0.105,7,0.000429449
2,4088,-3.7,16.9,9.9,-5887,-0.045,6,0.000794569
3,4089,-0.9,17.2,10.1,-5871,0.029,8,0.000701099
4,4090,-0.3,16.7,9.5,-827,0.04,10,0.001306181
5,4099,-5.4,17.4,10.3,-1272,0.042,10,0.000498081
0,4130,-5,17.4,10.4,-1263,0.058,5,0.000442694
1,4131,-0.2,17.7,10.4,-816,-0.016,7,0.000423725
2,4132,-3.7,17,9.9,-5892,-0.102,7,0.000783931
3,4133,-0.9,17.2,10.1,-5874,0.145,11,0.00067336
4,4134,-0.3,16.7,9.5,-824,-0.02,10,0.001286682
5,4135,-5.4,17.3,10.3,-1272,0.004,10,0.00052236
0,4165,-4.9,17.6,10.4,-1263,0.034,5,0.000442797
1,4166,-0.2,17.7,10.4,-814,-0.116,7,0.000448625
2,4167,-3.7,16.8,9.9,-5887,-0.122,10,0.000797749
3,4168,-0.9,17.3,10.1,-5871,0.068,9,0.000649225
4,4169,-0.3,16.9,9.5,-826,0.012,10,0.001386253
5,4170,-5.3,17.3,10.3,-1272,0.065,10,0.000516913
0,4201,-4.9,17.7,10.4,-1266,0.036,5,0.000455769
1,4201,-0.2,17.7,10.5,-814,0.002,7,0.000382229
2,4202,-3.7,16.9,9.9,-5888,-0.04,7,0.000818825
3,4203,-0.9,17,10.1,-5878,0.008,5,0.000699846
4,4204,-0.3,16.8,9.5,-827,0.135,10,0.001327797
5,4205,-5.3,17.4,10.3,-1269,0.042,10,0.00050111
0,4236,-4.9,17.6,10.4,-1266,-0.003,5,0.00044984
1,4237,-0.2,17.8,10.4,-816,0.015,7,0.000422327
2,4237,-3.7,16.8,9.9,-5884,-0.065,9,0.000812585
3,4238,-0.9,17.2,10.1,-5874,0.021,10,0.000596611
4,4239,-0.3,16.8,9.5,-822,0.11,11,0.001303991
5,4240,-5.4,17.3,10.3,-1266,0.055,10,0.000519492
0,4271,-5,17.4,10.4,-1264,-0.061,5,0.000454908
1,4272,-0.2,17.6,10.4,-814,-0.011,7,0.000408171
2,4273,-3.7,16.9,9.9,-5889,-0.084,9,0.000819832
3,4273,-0.9,17.3,10.1,-5874,0.016,10,0.000657221
4,4274,-0.3,16.9,9.5,-826,0.053,11,0.001357598
5,4275,-5.4,17.4,10.3,-1268,0.026,10,0.000529957
0,4306,-5,17.6,10.4,-1262,-0.059,5,0.000427628
1,4307,-0.2,17.7,10.4,-812,-0.08,7,0.000437582
2,4308,-3.7,16.9,9.9,-5889,-0.038,8,0.000855442
3,4309,-0.9,17.2,10.1,-5873,0.089,9,0.000655989
4,4310,-0.3,16.7,9.5,-828,0.08,11,0.00127939
5,4311,-5.3,17.4,10.3,-1269,0.017,9,0.000511507
0,4342,-5,17.6,10.4,-1266,-0.077,5,0.000429553
1,4342,-0.2,17.6,10.4,-818,-0.1,7,0.000415071
2,4343,-3.7,16.8,9.9,-5887,-0.064,6,0.000815816
3,4344,-0.9,17,10.1,-5871,0.02,11,0.00069672
4,4345,-0.3,16.8,9.5,-824,0.117,11,0.001422178
5,4346,-5.4,17.4,10.3,-1272,0.06,10,0.000516657
0,4377,-4.9,17.5,10.4,-1263,-0.112,5,0.000442785
1,4378,-0.2,17.6,10.4,-816,-0.084,7,0.000412188
2,4378,-3.7,16.8,9.9,-5886,-0.094,5,0.00081564
3,4379,-0.9,17.2,10,-5873,0.028,6,0.000715776
4,4380,-0.3,16.8,9.5,-827,0.101,11,0.001328755
5,4381,-5.4,17.2,10.3,-1271,0.043,9,0.000521676
0,4412,-4.9,17.6,10.4,-1265,-0.072,5,0.000437902
1,4413,-0.2,17.6,10.4,-815,-0.161,7,0.00043042
2,4413,-3.7,17,9.9,-5886,-0.031,7,0.000783407
3,4414,-0.8,17.2,10,-5871,0.002,8,0.000715567
4,4415,-0.3,16.9,9.5,-828,0.022,11,0.001269936
5,4416,-5.4,17.3,10.3,-1273,0.002,9,0.000528601
0,4447,-4.9,17.4,10.4,-1266,-0.133,4,0.000474646
1,4448,-0.2,17.7,10.4,-814,0.007,7,0.000413266
2,4448,-3.7,16.8,9.9,-5887,-0.071,5,0.00082561
3,4449,-0.8,17.1,10.1,-5873,0.006,4,0.000710082
4,4450,-0.3,16.8,9.5,-822,0.006,10,0.00141238
5,4451,-5.4,17.4,10.3,-1270,-0.022,9,0.000507042
0,4482,-5,17.6,10.4,-1266,0.004,5,0.000442819
1,4483,-0.2,17.8,10.4,-816,-0.082,7,0.000408656
2,4484,-3.7,16.9,9.9,-5888,-0.083,7,0.000787202
3,4485,-0.8,17.1,10.1,-5871,0.026,9,0.000678766
4,4485,-0.3,16.8,9.5,-825,0.021,10,0.001297994
5,4486,-5.3,17.3,10.3,-1269,-0.01,10,0.000528059
0,4517,-5,17.5,10.4,-1262,-0.011,5,0.000434765
1,4518,-0.2,17.6,10.4,-814,-0.011,7,0.000424711
2,4519,-3.8,16.9,9.9,-5885,-0.067,6,0.000780597
3,4520,-0.9,17.1,10.1,-5872,0.047,5,0.000687353
4,4521,-0.2,16.8,9.5,-827,0.081,11,0.001334092
5,4521,-5.4,17.3,10.3,-1269,-0.023,9,0.000534944
0,4552,-5,17.4,10.4,-1265,-0.05,4,0.000460176
1,4553,-0.2,17.8,10.4,-818,-0.007,7,0.000390796
2,4554,-3.7,17,9.9,-5886,-0.085,5,0.000821126
3,4555,-0.9,17.2,10.1,-5871,0.142,8,0.000652792
4,4556,-0.3,16.9,9.5,-824,0.05,10,0.001377255
5,4557,-5.4,17.3,10.3,-1271,0.012,10,0.000505003
0,4588,-4.9,17.5,10.4,-1264,0.064,5,0.000444855
1,4589,-0.2,17.8,10.4,-817,0.007,7,0.000398458
2,4589,-3.8,16.9,9.9,-5889,-0.098,10,0.000810075
3,4590,-0.9,17.2,10.1,-5871,0.148,6,0.000628863
4,4591,-0.3,16.8,9.5,-826,0.048,10,0.001285907
5,4592,-5.3,17.3,10.3,-1269,-0.002,9,0.000511398
0,4623,-5,17.6,10.4,-1265,-0.021,4,0.000432461
1,4624,-0.2,17.6,10.4,-813,-0.038,7,0.000414325
2,4625,-3.7,16.8,9.9,-5887,-0.064,10,0.000778744
3,4626,-0.8,17.2,10.1,-5874,0.068,6,0.000678101
4,4626,-0.3,16.7,9.5,-827,0.039,10,0.001384953
5,4627,-5.4,17.3,10.3,-1270,0.043,10,0.000510648
0,4658,-5,17.5,10.4,-1263,-0.021,4,0.000463669
1,4659,-0.2,17.6,10.4,-816,-0.082,7,0.000388854
2,4660,-3.8,16.9,9.9,-5889,-0.077,7,0.000803815
3,4661,-0.9,17.2,10.1,-5871,0.154,5,0.000646509
4,4662,-0.3,16.8,9.5,-826,0.05,11,0.001331534
5,4663,-5.4,17.3,10.3,-1267,0.05,9,0.000512156
0,4693,-5,17.5,10.4,-1262,-0.046,5,0.000439255
1,4694,-0.2,17.6,10.5,-814,-0.133,7,0.000424284
2,4695,-3.7,16.9,9.9,-5886,-0.046,10,0.000829434
3,4696,-0.9,17.2,10.1,-5874,0.095,5,0.000635417
4,4697,-0.3,16.9,9.5,-826,0.034,11,0.001281277
5,4698,-5.4,17.3,10.3,-1269,0.041,10,0.000523326
0,4729,-5,17.5,10.4,-1263,-0.012,5,0.000433211
1,4729,-0.2,17.7,10.4,-816,-0.172,7,0.000416792
2,4730,-3.7,16.7,9.9,-5889,-0.101,7,0.000788466
3,4731,-0.9,17.2,10,-5874,0.111,11,0.00067109
4,4732,-0.3,16.8,9.5,-829,0.061,11,0.001363394
5,4733,-5.4,17.3,10.3,-1269,0.098,10,0.000525992
0,4764,-4.9,17.6,10.4,-1263,-0.062,5,0.000435381
1,4765,-0.2,17.7,10.4,-816,-0.069,7,0.000439813
2,4765,-3.7,16.9,9.9,-5887,-0.053,7,0.000814141
3,4766,-0.9,17.3,10.1,-5867,-0.006,5,0.000652175
4,4767,-0.3,16.7,9.5,-826,0.038,10,0.00128804
5,4768,-5.4,17.4,10.3,-1273,0.054,10,0.000529713
0,4799,-5,17.6,10.4,-1266,-0.035,4,0.000429013
1,4800,-0.2,17.7,10.4,-814,-0.069,7,0.000420016
2,4801,-3.8,16.8,9.9,-5888,-0.05,6,0.000789708
3,4801,-0.9,17,10,-5874,0.013,9,0.000668743
4,4803,-0.3,16.8,9.5,-822,0.058,10,0.001418707
5,4804,-5.3,17.3,10.3,-1268,0.053,10,0.000511457
0,4835,-5,17.6,10.4,-1262,-0.015,5,0.000432913
1,4835,-0.2,17.7,10.4,-816,-0.062,7,0.000394159
2,4836,-3.7,16.8,9.9,-5886,-0.112,10,0.000834708
3,4837,-0.8,17.2,10.1,-5872,0.038,7,0.000659811
4,4838,-0.2,16.8,9.5,-826,0.014,10,0.001323471
5,4839,-5.4,17.4,10.3,-1266,0.043,10,0.000525933
0,4870,-5,17.6,10.4,-1266,-0.048,4,0.000440771
1,4870,-0.2,17.6,10.4,-816,-0.022,7,0.000406878
2,4871,-3.7,17,9.9,-5886,-0.032,9,0.000784646
3,4872,-0.9,17.1,10.1,-5874,0.003,5,0.000642447
4,4873,-0.2,16.8,9.5,-826,0.065,11,0.001303216
5,4874,-5.4,17.3,10.3,-1272,-0.012,10,0.000526704
0,4905,-5,17.5,10.4,-1265,-0.022,5,0.000475992
1,4905,-0.2,17.5,10.4,-818,-0.012,7,0.000427585
2,4906,-3.7,16.8,9.9,-5889,-0.128,6,0.000818341
3,4907,-0.9,17.1,10,-5874,0.146,6,0.000716937
4,4908,-0.3,16.7,9.5,-823,0.041,10,0.001386334
5,4909,-5.4,17.3,10.3,-1271,-0.021,10,0.000508129
0,4940,-4.9,17.5,10.4,-1266,-0.028,5,0.000446976
1,4941,-0.2,17.8,10.4,-814,-0.016,7,0.000396593
2,4941,-3.7,17,9.9,-5889,-0.103,9,0.00080506
3,4942,-0.9,17.2,10.1,-5870,0.137,4,0.000682929
4,4943,-0.3,16.8,9.5,-827,0.104,11,0.001306218
5,4944,-5.4,17.4,10.3,-1270,-0.023,10,0.00052955
0,4975,-4.7,17.5,10.4,-1262,-0.029,5,0.000454584
1,4988,-0.1,17.8,10.4,-815,-0.112,7,0.00039431
2,4989,-3.8,16.8,9.9,-5885,-0.049,10,0.000832672
3,4990,-0.9,17.2,10.1,-5871,0.119,7,0.000653476
4,4999,-0.3,16.9,9.5,-827,0.086,11,0.001319629
5,5000,-5,17.3,10.3,-1269,-0.051,9,0.00051806
0,5031,-4.7,17.6,10.4,-1267,-0.024,5,0.000441166
1,5032,-0.2,17.7,10.4,-815,-0.077,7,0.000419641
2,5032,-3.8,16.9,9.9,-5885,-0.137,12,0.000819614
3,5033,-0.8,17.1,10.1,-5870,0.076,8,0.000658617
4,5034,-0.2,16.9,9.5,-827,0.078,10,0.001353805
5,5035,-5,17.3,10.3,-1272,-0.012,9,0.000500894
0,5066,-4.6,17.6,10.4,-1264,-0.017,6,0.000482338
1,5067,-0.1,17.7,10.4,-814,-0.072,7,0.000400006
2,5067,-3.7,16.9,9.9,-5886,-0.104,8,0.000831867
3,5068,-0.8,17.1,10,-5870,0.084,9,0.000732726
4,5069,-0.3,16.8,9.5,-824,-0.006,10,0.001271746
5,5070,-4.9,17.3,10.3,-1272,-0.043,9,0.000500872
0,5101,-4.7,17.5,10.3,-1266,-0.056,5,0.000473567
1,5102,-0.2,17.7,10.4,-816,-0.065,7,0.000426493
2,5103,-3.8,16.9,9.9,-5891,-0.119,11,0.000832992
3,5103,-0.9,17.2,10.1,-5871,0.04,8,0.000634166
4,5104,-0.3,16.7,9.5,-822,0.093,11,0.001296438
5,5105,-5,17.4,10.3,-1270,-0.066,10,0.000526797
0,5136,-4.6,17.5,10.4,-1264,-0.023,5,0.000438851
1,5137,-0.2,17.7,10.4,-814,-0.035,7,0.000412259
2,5138,-3.8,16.9,9.9,-5891,-0.113,10,0.000817009
3,5139,-0.8,17.1,10.1,-5874,0.082,8,0.000610257
4,5140,-0.3,16.8,9.5,-826,0.021,11,0.001390718
5,5140,-5,17.4,10.3,-1270,-0.047,10,0.000519662
0,5171,-4.7,17.5,10.4,-1267,0.015,4,0.000450919
1,5172,-0.2,17.7,10.4,-816,-0.117,7,0.000426109
2,5173,-3.8,16.8,9.9,-5889,-0.098,12,0.000836637
3,5174,-0.8,17.1,10.1,-5871,0.061,5,0.000646226
4,5175,-0.2,16.8,9.5,-827,0.023,11,0.001314805
5,5176,-5,17.3,10.3,-1273,-0.05,10,0.000507438
0,5206,-4.7,17.6,10.4,-1262,-0.022,5,0.000461241
1,5207,-0.2,17.6,10.4,-816,-0.042,7,0.000425063
2,5208,-3.8,16.8,9.9,-5885,-0.072,11,0.00087359
3,5209,-0.8,17.2,10,-5870,0.059,9,0.000703764
4,5210,-0.2,16.8,9.5,-827,-0.02,11,0.001355894
5,5211,-4.9,17.4,10.3,-1267,-0.014,10,0.000523526
0,5242,-4.6,17.5,10.4,-1266,-0.032,5,0.000437807
1,5242,-0.2,17.7,10.4,-814,-0.076,7,0.000404082
2,5243,-3.8,16.8,9.9,-5889,-0.003,9,0.000865516
3,5244,-0.9,17.2,10.1,-5874,0.12,12,0.000613067
4,5245,-0.3,16.8,9.5,-827,-0.032,10,0.001280253
5,5246,-5,17.2,10.3,-1268,0.072,10,0.000537064
0,5277,-4.6,17.6,10.4,-1264,0.015,5,0.000437546
1,5278,-0.2,17.7,10.4,-814,-0.063,7,0.00042352
2,5278,-3.7,16.6,9.9,-5889,-0.04,11,0.000838037
3,5279,-0.8,17.2,10.1,-5872,0.099,11,0.000695756
4,5280,-0.3,16.8,9.5,-827,0.04,11,0.001321469
5,5281,-5,17.4,10.3,-1275,0.106,10,0.000535547
